tower_id,region,timestamp,signal_strength,data_volume_mb
105,North,1753328700,-79.8,84.2
107,Central,1753374600,-80.9,113.3
108,North,1753336800,-76.1,222.2
102,Central,1753354800,-89.0,183.8
105,Central,1753335000,-84.3,166.7
104,North,1753353000,-93.2,176.2
102,East,1753352100,-94.5,160.8
103,West,1753361100,-90.4,142.5
106,North,1753341300,-87.7,81.6
104,West,1753372800,-92.0,228.1
108,North,1753364700,-84.6,-42.5
104,East,1753326000,-70.4,221.1
103,West,1753364700,-82.9,92.7
101,East,1753342200,-70.7,202.4
105,West,1753376400,-91.7,179.1
103,North,1753371900,-80.1,185.0
103,East,1753380000,-73.0,225.9
103,North,1753371000,-71.0,66.0
102,West,1753362000,-74.8,221.2
103,East,1753348500,-81.8,171.3
107,East,1753320600,-88.1,93.1
107,East,1753366500,-71.8,207.0
103,South,1753337700,-75.2,134.4
106,Central,1753325100,-90.2,63.9
106,West,1753344900,-150.0,112.3
ABC,South,1753326000,-79.4,88.0
108,South,1753368300,-90.3,93.5
101,Central,1753369200,-76.6,62.2
104,Central,1753373700,-80.1,173.9
107,West,1753358400,-83.3,195.8
104,North,1753331400,-74.9,130.2
106,South,1753335900,-70.1,77.7
103,South,1753369200,-76.3,5000.0
108,Central,1753323300,-91.9,234.5
104,Central,1753318800,-84.5,139.8
106,North,1753321500,-92.7,69.3
108,South,1753356600,-75.4,211.5
105,West,1753350300,-70.1,180.0
102,North,1753359300,-84.9,117.9
102,North,1753346700,-76.7,213.2
102,Central,1753340400,-76.2,203.7
102,Central,1753324200,-87.7,175.7
102,North,1753362900,-78.7,158.1
102,South,1753360200,-90.2,157.3
106,Central,1753322400,-88.4,58.7
106,North,1753370100,-93.7,145.4
102,North,1753315200,-76.5,99.0
102,Central,1753317000,-84.5,56.0
,North,1753319700,-81.2,120.5
105,Central,1753339500,-73.5,52.3
105,West,1753367400,-77.6,196.1
105,North,1753319700,-76.0,81.9
104,South,1753317900,-82.4,55.3
107,Central,1753352100,10.0,77.9
102,East,1753343100,-74.0,151.5
104,South,1753344000,-85.7,82.3
104,South,1753329600,-83.4,104.0
101,North,1753363800,-71.8,219.7
108,Central,1753351200,-83.7,99.6
104,North,1753353900,-72.4,221.9
104,,1753333200,-83.1,140.2
108,South,1753334100,-88.4,99.3
104,Central,1753355700,-91.7,237.1
102,West,1753338600,-85.5,249.2
102,Central,1753324200,-87.7,175.7
106,East,1753345800,-89.0,98.2
102,South,1753332300,-72.2,163.4
102,North,1753379100,-81.6,151.2
106,South,1753327800,-85.7,91.9
101,Central,1753344900,-86.9,53.9
104,East,1753330500,-73.9,205.2
102,West,1753326900,-88.1,177.1
105,East,not_a_ts,-77.8,95.6
101,West,1753378200,-79.5,162.6
103,North,1753316100,-78.1,228.4
105,South,1753375500,-78.3,112.8
104,Central,1753349400,-76.1,188.0
108,East,1753377300,-71.8,237.1
107,North,1753365600,-90.9,50.4
106,South,1753333200,-78.6,129.1
103,South,1753347600,-78.5,239.4
104,North,1753357500,-92.6,136.2
